id,name,region,incomeLevel,capitalCity,longitude,latitude,population
AFG,Afghanistan,South Asia,Low income,Kabul,69.1761,34.5228,41454761
AGO,Angola,Sub-Saharan Africa ,Lower middle income,Luanda,13.242,-8.81155,36749906
ALB,Albania,Europe & Central Asia,Upper middle income,Tirane,19.8172,41.3317,2745972
AND,Andorra,Europe & Central Asia,High income,Andorra la Vella,1.5218,42.5075,80856
ARE,United Arab Emirates,Middle East & North Africa,High income,Abu Dhabi,54.3705,24.4764,10483751
ARG,Argentina,Latin America & Caribbean ,Upper middle income,Buenos Aires,-58.4173,-34.6118,45538401
ARM,Armenia,Europe & Central Asia,Upper middle income,Yerevan,44.509,40.1596,2990900
ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,Saint John's,-61.8456,17.1175,93316
AUS,Australia,East Asia & Pacific,High income,Canberra,149.129,-35.282,26658948
AUT,Austria,Europe & Central Asia,High income,Vienna,16.3798,48.2201,9131761
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,Baku,49.8932,40.3834,10153958
BDI,Burundi,Sub-Saharan Africa ,Low income,Bujumbura,29.3639,-3.3784,13689450
BEL,Belgium,Europe & Central Asia,High income,Brussels,4.36761,50.8371,11787423
BEN,Benin,Sub-Saharan Africa ,Lower middle income,Porto-Novo,2.6323,6.4779,14111034
BFA,Burkina Faso,Sub-Saharan Africa ,Low income,Ouagadougou,-1.53395,12.3605,23025776
BGD,Bangladesh,South Asia,Lower middle income,Dhaka,90.4113,23.7055,171466990
BGR,Bulgaria,Europe & Central Asia,High income,Sofia,23.3238,42.7105,6446596
BHR,Bahrain,Middle East & North Africa,High income,Manama,50.5354,26.1921,1577059
BHS,"Bahamas, The",Latin America & Caribbean ,High income,Nassau,-77.339,25.0661,399440
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,Sarajevo,18.4214,43.8607,3185073
BLR,Belarus,Europe & Central Asia,Upper middle income,Minsk,27.5766,53.9678,9178298
BLZ,Belize,Latin America & Caribbean ,Upper middle income,Belmopan,-88.7713,17.2534,411106
BOL,Bolivia,Latin America & Caribbean ,Lower middle income,La Paz,-66.1936,-13.9908,12244159
BRA,Brazil,Latin America & Caribbean ,Upper middle income,Brasilia,-47.9292,-15.7801,211140729
BRB,Barbados,Latin America & Caribbean ,High income,Bridgetown,-59.6105,13.0935,282336
BRN,Brunei Darussalam,East Asia & Pacific,High income,Bandar Seri Begawan,114.946,4.94199,458949
BTN,Bhutan,South Asia,Lower middle income,Thimphu,89.6177,27.5768,786385
BWA,Botswana,Sub-Saharan Africa ,Upper middle income,Gaborone,25.9201,-24.6544,2480244
CAF,Central African Republic,Sub-Saharan Africa ,Low income,Bangui,21.6407,5.63056,5152421
CAN,Canada,North America,High income,Ottawa,-75.6919,45.4215,40097761
CHE,Switzerland,Europe & Central Asia,High income,Bern,7.44821,46.948,8888093
CHL,Chile,Latin America & Caribbean ,High income,Santiago,-70.6475,-33.475,19658835
CHN,China,East Asia & Pacific,Upper middle income,Beijing,116.286,40.0495,1410710000
CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,Yamoussoukro,-4.0305,5.332,31165654
CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Yaounde,11.5174,3.8721,28372687
COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,Kinshasa,15.3222,-4.325,105789731
COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,Brazzaville,15.2662,-4.2767,6182885
COL,Colombia,Latin America & Caribbean ,Upper middle income,Bogota,-74.082,4.60987,52321152
COM,Comoros,Sub-Saharan Africa ,Lower middle income,Moroni,43.2418,-11.6986,850387
CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Praia,-23.5087,14.9218,522331
CRI,Costa Rica,Latin America & Caribbean ,Upper middle income,San Jose,-84.0089,9.63701,5105525
CUB,Cuba,Latin America & Caribbean ,Upper middle income,Havana,-82.3667,23.1333,11019931
CYP,Cyprus,Europe & Central Asia,High income,Nicosia,33.3736,35.1676,1344976
CZE,Czechia,Europe & Central Asia,High income,Prague,14.4205,50.0878,10864042
DEU,Germany,Europe & Central Asia,High income,Berlin,13.4115,52.5235,83280000
DJI,Djibouti,Middle East & North Africa,Lower middle income,Djibouti,43.1425,11.5806,1152944
DMA,Dominica,Latin America & Caribbean ,Upper middle income,Roseau,-61.39,15.2976,66510
DNK,Denmark,Europe & Central Asia,High income,Copenhagen,12.5681,55.6763,5946952
DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,Santo Domingo,-69.8908,18.479,11331265
DZA,Algeria,Middle East & North Africa,Upper middle income,Algiers,3.05097,36.7397,46164219
ECU,Ecuador,Latin America & Caribbean ,Upper middle income,Quito,-78.5243,-0.229498,17980083
EGY,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,Cairo,31.2461,30.0982,114535772
ERI,Eritrea,Sub-Saharan Africa ,Low income,Asmara,38.9183,15.3315,3470390
ESP,Spain,Europe & Central Asia,High income,Madrid,-3.70327,40.4167,48347910
EST,Estonia,Europe & Central Asia,High income,Tallinn,24.7586,59.4392,1370286
ETH,Ethiopia,Sub-Saharan Africa ,Low income,Addis Ababa,38.7468,9.02274,128691692
FIN,Finland,Europe & Central Asia,High income,Helsinki,24.9525,60.1608,5583911
FJI,Fiji,East Asia & Pacific,Upper middle income,Suva,178.399,-18.1149,924145
FRA,France,Europe & Central Asia,High income,Paris,2.35097,48.8566,68287487
FSM,"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income,Palikir,158.185,6.91771,112630
GAB,Gabon,Sub-Saharan Africa ,Upper middle income,Libreville,9.45162,0.38832,2484789
GBR,United Kingdom,Europe & Central Asia,High income,London,-0.126236,51.5002,68350000
GEO,Georgia,Europe & Central Asia,Upper middle income,Tbilisi,44.793,41.71,3715483
GHA,Ghana,Sub-Saharan Africa ,Lower middle income,Accra,-0.20795,5.57045,33787914
GIN,Guinea,Sub-Saharan Africa ,Lower middle income,Conakry,-13.7,9.51667,14405468
